,timestamp,owner,target,friendship,romance,interaction_score,statuses
95,0002-01-01T00:00.000z,6,31,0,0,3,
96,0002-01-01T00:00.000z,6,138,0,0,3,
97,0002-01-01T00:00.000z,6,38,0,0,3,
98,0002-02-01T00:00.000z,6,7,59,0,1,ParentOf
99,0002-02-01T00:00.000z,6,11,59,0,1,ParentOf
100,0002-02-01T00:00.000z,6,17,59,0,1,ParentOf
101,0002-02-01T00:00.000z,6,4,0,0,3,
102,0002-02-01T00:00.000z,6,3,0,0,3,
103,0002-02-01T00:00.000z,6,26,0,0,3,
104,0002-02-01T00:00.000z,6,42,0,0,3,
105,0002-02-01T00:00.000z,6,40,0,0,3,
106,0002-02-01T00:00.000z,6,137,0,0,3,
107,0002-02-01T00:00.000z,6,131,0,0,3,
108,0002-02-01T00:00.000z,6,27,0,0,3,
109,0002-02-01T00:00.000z,6,130,0,0,3,
110,0002-02-01T00:00.000z,6,148,0,0,3,
111,0002-02-01T00:00.000z,6,2,0,0,3,
112,0002-02-01T00:00.000z,6,31,0,0,3,
113,0002-02-01T00:00.000z,6,138,0,0,3,
114,0002-02-01T00:00.000z,6,38,0,0,3,
115,0002-02-01T00:00.000z,6,142,0,0,3,
116,0002-02-01T00:00.000z,6,135,0,0,3,
117,0002-03-01T00:00.000z,6,7,62,0,1,ParentOf
118,0002-03-01T00:00.000z,6,11,62,0,1,ParentOf
119,0002-03-01T00:00.000z,6,17,62,0,1,ParentOf
120,0002-03-01T00:00.000z,6,4,0,0,3,
121,0002-03-01T00:00.000z,6,3,0,0,3,
122,0002-03-01T00:00.000z,6,26,0,0,3,
123,0002-03-01T00:00.000z,6,42,0,0,3,
124,0002-03-01T00:00.000z,6,40,0,0,3,
125,0002-03-01T00:00.000z,6,137,0,0,3,
126,0002-03-01T00:00.000z,6,131,0,0,3,
127,0002-03-01T00:00.000z,6,27,0,0,3,
128,0002-03-01T00:00.000z,6,130,0,0,3,
129,0002-03-01T00:00.000z,6,148,0,0,3,
130,0002-03-01T00:00.000z,6,2,0,0,3,
131,0002-03-01T00:00.000z,6,31,0,0,3,
132,0002-03-01T00:00.000z,6,138,0,0,3,
133,0002-03-01T00:00.000z,6,38,0,0,3,
134,0002-03-01T00:00.000z,6,142,0,0,3,
135,0002-03-01T00:00.000z,6,135,0,0,3,
136,0002-04-01T00:00.000z,6,7,65,0,1,ParentOf
137,0002-04-01T00:00.000z,6,11,65,0,1,ParentOf
138,0002-04-01T00:00.000z,6,17,65,0,1,ParentOf
139,0002-04-01T00:00.000z,6,4,0,0,3,
140,0002-04-01T00:00.000z,6,3,0,0,3,
141,0002-04-01T00:00.000z,6,26,0,0,3,
142,0002-04-01T00:00.000z,6,42,0,0,3,
143,0002-04-01T00:00.000z,6,40,0,0,3,
144,0002-04-01T00:00.000z,6,137,0,0,3,
145,0002-04-01T00:00.000z,6,131,0,0,3,
146,0002-04-01T00:00.000z,6,27,0,0,3,
147,0002-04-01T00:00.000z,6,130,0,0,3,
148,0002-04-01T00:00.000z,6,148,0,0,3,
149,0002-04-01T00:00.000z,6,2,0,0,3,
150,0002-04-01T00:00.000z,6,31,0,0,3,
151,0002-04-01T00:00.000z,6,138,0,0,3,
152,0002-04-01T00:00.000z,6,38,0,0,3,
153,0002-04-01T00:00.000z,6,142,0,0,3,
154,0002-04-01T00:00.000z,6,135,0,0,3,
155,0002-05-01T00:00.000z,6,7,68,0,1,ParentOf
156,0002-05-01T00:00.000z,6,11,68,0,1,ParentOf
157,0002-05-01T00:00.000z,6,17,68,0,1,ParentOf
158,0002-05-01T00:00.000z,6,4,0,0,3,
159,0002-05-01T00:00.000z,6,3,0,0,3,
160,0002-05-01T00:00.000z,6,26,0,0,3,
161,0002-05-01T00:00.000z,6,42,0,0,3,
162,0002-05-01T00:00.000z,6,40,0,0,3,
163,0002-05-01T00:00.000z,6,137,0,0,3,
164,0002-05-01T00:00.000z,6,131,0,0,3,
165,0002-05-01T00:00.000z,6,27,0,0,3,
166,0002-05-01T00:00.000z,6,130,0,0,3,
167,0002-05-01T00:00.000z,6,148,0,0,3,
168,0002-05-01T00:00.000z,6,2,0,0,3,
169,0002-05-01T00:00.000z,6,31,0,0,3,
170,0002-05-01T00:00.000z,6,138,0,0,3,
171,0002-05-01T00:00.000z,6,38,0,0,3,
172,0002-05-01T00:00.000z,6,142,0,0,3,
173,0002-05-01T00:00.000z,6,135,0,0,3,
174,0002-06-01T00:00.000z,6,7,71,0,1,ParentOf
